epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1481,1.7553,3.93889,1.19553,0.6935,0.15552,0.27919,0.16973,1.22991,3.13183,0.96167,0.000193421,0.000193421,0.000193421
2,26.3265,1.44071,2.29054,1.03233,0.31976,0.45548,0.42977,0.29762,1.12372,1.8312,0.95607,0.000381711,0.000381711,0.000381711
3,37.1553,1.30171,1.68489,0.98496,0.56389,0.58748,0.65241,0.48436,1.02133,1.24221,0.93729,0.000562238,0.000562238,0.000562238
4,48.0338,1.26849,1.40384,0.97739,0.72662,0.69129,0.77353,0.56736,0.97601,1.00979,0.91646,0.000553073,0.000553073,0.000553073
5,58.9249,1.20035,1.24052,0.95363,0.7163,0.81025,0.866,0.63917,0.95414,0.99087,0.91634,0.00054143,0.00054143,0.00054143
6,69.7934,1.18644,1.13145,0.96355,0.8758,0.85617,0.93757,0.7047,0.92909,0.79178,0.91177,0.000529788,0.000529788,0.000529788
7,80.5384,1.15995,1.03816,0.95973,0.90496,0.90196,0.95274,0.73884,0.86864,0.74196,0.89643,0.000518146,0.000518146,0.000518146
8,91.2443,1.11544,0.94729,0.94291,0.95146,0.92611,0.96998,0.73031,0.90423,0.68734,0.90405,0.000506503,0.000506503,0.000506503
9,101.899,1.08862,0.89931,0.9382,0.93456,0.93781,0.97271,0.75462,0.8848,0.65207,0.89974,0.000494861,0.000494861,0.000494861
10,112.594,1.10298,0.87848,0.94804,0.96325,0.95261,0.97677,0.73628,0.93731,0.62705,0.9072,0.000483218,0.000483218,0.000483218
11,123.326,1.08374,0.8379,0.94377,0.94987,0.94987,0.96969,0.74691,0.88218,0.6154,0.89979,0.000471576,0.000471576,0.000471576
12,133.965,1.0405,0.81341,0.93547,0.95318,0.95532,0.9749,0.74897,0.89878,0.63071,0.90249,0.000459934,0.000459934,0.000459934
13,144.803,1.03359,0.78174,0.92496,0.95334,0.97037,0.97499,0.75304,0.8541,0.55307,0.89538,0.000448291,0.000448291,0.000448291
14,155.541,1.04406,0.76468,0.92864,0.96421,0.97649,0.98061,0.76684,0.82029,0.54421,0.88793,0.000436649,0.000436649,0.000436649
15,166.297,1.03169,0.75516,0.93555,0.95743,0.96163,0.97796,0.75165,0.89213,0.57696,0.90224,0.000425006,0.000425006,0.000425006
